,dynamics,N,p,loss,loss_err
0,Diffusion,100,0.05,0.9010090827941895,0.019659059588427775
1,Diffusion,100,0.1,0.7982811868190766,0.006666825247466747
2,Diffusion,100,0.2,0.7471381425857544,0.005071692403882058
3,Diffusion,100,0.30000000000000004,0.7363231837749481,0.01027369951665086
4,Diffusion,100,0.4,0.7294752657413482,0.004864657384395547
5,Diffusion,100,0.5,0.7250033855438233,0.005910025222527873
6,Diffusion,100,0.6000000000000001,0.7217614471912384,0.005059758391411801
7,Diffusion,100,0.7,0.7210050046443939,0.004699550785460856
8,Diffusion,100,0.8,0.7174792945384979,0.005035998685770174
9,Diffusion,100,0.9000000000000001,0.7193336665630341,0.004289594792099851
10,Diffusion,100,1.0,0.7181841611862183,0.005050621970315506
11,PD,100,0.05,3.300344967842102,0.053928380754149574
12,PD,100,0.1,2.5300451278686524,0.058165038043724346
13,PD,100,0.2,1.7240893602371217,0.03202534288864572
14,PD,100,0.30000000000000004,1.4447062611579895,0.02585129830016253
15,PD,100,0.4,1.3405216932296753,0.021221590654179858
16,PD,100,0.5,1.2919095873832702,0.025091767369343
17,PD,100,0.6000000000000001,1.2780520915985107,0.02744161050162059
18,PD,100,0.7,1.2573535919189454,0.03078919045707556
19,PD,100,0.8,1.2503126978874206,0.02434496516367953
20,PD,100,0.9000000000000001,1.2428592562675476,0.022252077549648724
21,PD,100,1.0,1.2292115688323975,0.022961210441923948
22,MAK,100,0.05,0.828247320652008,0.05056682126683148
23,MAK,100,0.1,0.541476023197174,0.008245638899948168
24,MAK,100,0.2,0.49048220813274385,0.005485296238677839
25,MAK,100,0.30000000000000004,0.4863581031560898,0.00542596938828465
26,MAK,100,0.4,0.4857361912727356,0.005733572486340155
27,MAK,100,0.5,0.48120721280574796,0.0047836740063104425
28,MAK,100,0.6000000000000001,0.483667328953743,0.004155267282405553
29,MAK,100,0.7,0.48622448146343233,0.004194302343440813
30,MAK,100,0.8,0.4865694224834442,0.003982099480759715
31,MAK,100,0.9000000000000001,0.48840223252773285,0.004373290221425943
32,MAK,100,1.0,0.48687646090984343,0.003996845760927566
33,MM,100,0.05,1.1211669087409972,0.04424201482951537
34,MM,100,0.1,1.8583934426307678,0.051756111548772125
35,MM,100,0.2,3.4067357778549194,0.08179307736118324
36,MM,100,0.30000000000000004,4.288377332687378,0.22674104401231593
37,MM,100,0.4,3.8439430952072144,0.1694819347184796
38,MM,100,0.5,3.124252462387085,0.1349846632792697
39,MM,100,0.6000000000000001,2.6137039422988892,0.11038277656495891
40,MM,100,0.7,2.337279963493347,0.11052474104905018
41,MM,100,0.8,2.106555092334747,0.10827160573846466
42,MM,100,0.9000000000000001,1.9281459093093871,0.12604645773469317
43,MM,100,1.0,1.7899131059646607,0.08969688386517181
44,SIS,100,0.05,0.34202648401260377,0.0051501515804903055
45,SIS,100,0.1,0.2984521210193634,0.004821647242516084
46,SIS,100,0.2,0.5327362537384033,0.00893416901279573
47,SIS,100,0.30000000000000004,0.7184009075164794,0.011976307350112852
48,SIS,100,0.4,0.8026462316513061,0.006911368573350806
49,SIS,100,0.5,0.8508124828338623,0.00773700968801784
50,SIS,100,0.6000000000000001,0.8705599725246429,0.008628326174070148
51,SIS,100,0.7,0.8773081719875335,0.005380275882970373
52,SIS,100,0.8,0.884477972984314,0.007142066689339219
53,SIS,100,0.9000000000000001,0.889099782705307,0.007461125865867954
54,SIS,100,1.0,0.8915378332138062,0.007236671811023949
