,dynamics,N,p,loss,loss_err
0,Diffusion,50,0.1,0.9115417897701263,0.029210196264512482
1,Diffusion,100,0.1,0.7937386572360993,0.008339274587682665
2,Diffusion,150,0.1,0.7681114912033081,0.005060707678927568
3,Diffusion,200,0.1,0.7511824131011963,0.004089334519776554
4,Diffusion,250,0.1,0.7443533837795258,0.00291704052497746
5,Diffusion,300,0.1,0.7365392565727233,0.003231533530556727
6,Diffusion,350,0.1,0.7339485824108124,0.003951406062926204
7,Diffusion,400,0.1,0.7301235258579254,0.004083352808845999
8,Diffusion,450,0.1,0.7274999380111694,0.0022214969615646264
9,PD,50,0.1,3.334068012237549,0.08081031513149088
10,PD,100,0.1,2.5521551609039306,0.07350282217848517
11,PD,150,0.1,1.9599378824234008,0.04457951362939589
12,PD,200,0.1,1.6851249575614928,0.026434255355130297
13,PD,250,0.1,1.5145123481750489,0.01446553389805702
14,PD,300,0.1,1.4304850339889525,0.010135254563584335
15,PD,350,0.1,1.376335322856903,0.006406923985101747
16,PD,400,0.1,1.3357171773910523,0.009776683688864156
17,PD,450,0.1,1.3113978147506713,0.009412018478800726
18,MAK,50,0.1,0.891067385673523,0.045765716167736885
19,MAK,100,0.1,0.5501683354377747,0.0074844338707565775
20,MAK,150,0.1,0.49961748719215393,0.004437531945718756
21,MAK,200,0.1,0.4876778990030289,0.0034259553132801055
22,MAK,250,0.1,0.4864728391170502,0.0036741336942411216
23,MAK,300,0.1,0.48440403342247007,0.0026425525403123724
24,MAK,350,0.1,0.4831545650959015,0.002045943904028133
25,MAK,400,0.1,0.48438205420970915,0.002770766264085975
26,MAK,450,0.1,0.4831327944993973,0.0018473908770143203
27,MM,50,0.1,1.1379768610000611,0.048150061939795825
28,MM,100,0.1,1.8860623240470886,0.06965187381344905
29,MM,150,0.1,2.7307132482528687,0.12385131621083219
30,MM,200,0.1,3.4270460844039916,0.09840283634239655
31,MM,250,0.1,4.053124570846558,0.06612547604454362
32,MM,300,0.1,4.1698479652404785,0.07124626495149078
33,MM,350,0.1,4.048961520195007,0.06619903773548742
34,MM,400,0.1,3.727831768989563,0.06414191322891676
35,MM,450,0.1,3.400219511985779,0.07909451180246253
36,SIS,50,0.1,0.34720982909202575,0.01395562832600695
37,SIS,100,0.1,0.3009023815393448,0.0036892653583172246
38,SIS,150,0.1,0.3998279720544815,0.008398687989687063
39,SIS,200,0.1,0.5395715713500977,0.009806542103346735
40,SIS,250,0.1,0.6433146953582763,0.008589464909957443
41,SIS,300,0.1,0.718223649263382,0.004970913736931422
42,SIS,350,0.1,0.7708891093730926,0.003947755565594375
43,SIS,400,0.1,0.8062131524085998,0.003168756796917307
44,SIS,450,0.1,0.8309838354587555,0.004469731044350683
