,Dynamics,delta,loss,pval
0,SIS,0.1,0.00972321443259716,0.94
1,SIS,0.1,0.018923478201031685,0.9
2,SIS,0.1,0.01083212997764349,0.95
3,SIS,0.1,0.01189693808555603,0.92
4,SIS,0.1,0.014119351282715797,0.92
5,SIS,0.1,0.010751023888587952,0.84
6,SIS,0.1,0.008073816075921059,0.96
7,SIS,0.1,0.015446767210960388,0.85
8,SIS,0.1,0.015670275315642357,0.9
9,SIS,0.1,0.02206045761704445,0.93
0,SIS,0.3,0.015284217894077301,0.88
1,SIS,0.3,0.00791481975466013,0.91
2,SIS,0.3,0.01791341044008732,0.83
3,SIS,0.3,0.014030278660356998,0.93
4,SIS,0.3,0.009691165760159492,0.93
5,SIS,0.3,0.01193377934396267,0.93
6,SIS,0.3,0.01773880235850811,0.88
7,SIS,0.3,0.015260117128491402,0.88
8,SIS,0.3,0.013053709641098976,0.88
9,SIS,0.3,0.008924451656639576,0.95
0,SIS,0.4,0.0171637162566185,0.92
1,SIS,0.4,0.00771549204364419,0.93
2,SIS,0.4,0.014855432324111462,0.9
3,SIS,0.4,0.008020829409360886,0.94
4,SIS,0.4,0.01083329226821661,0.91
5,SIS,0.4,0.01423694472759962,0.92
6,SIS,0.4,0.014914749190211296,0.9
7,SIS,0.4,0.010175643488764763,0.94
8,SIS,0.4,0.012396259233355522,0.93
9,SIS,0.4,0.009664814919233322,0.88
