,Dynamics,delta,loss,pval
0,MAK,0.4,0.024498440325260162,0.68
1,MAK,0.4,0.01275605894625187,0.89
2,MAK,0.4,0.01687210611999035,0.85
3,MAK,0.4,0.013896433636546135,0.8
4,MAK,0.4,0.011270392686128616,0.88
5,MAK,0.4,0.010422301478683949,0.8
6,MAK,0.4,0.022759538143873215,0.74
7,MAK,0.4,0.03259558603167534,0.38
8,MAK,0.4,0.0049839625135064125,0.89
9,MAK,0.4,0.022847451269626617,0.58
0,MAK,0.5,0.016359416767954826,0.7
1,MAK,0.5,0.033319536596536636,0.55
2,MAK,0.5,0.020611604675650597,0.67
3,MAK,0.5,0.008735115639865398,0.77
4,MAK,0.5,0.011204184964299202,0.86
5,MAK,0.5,0.02202780917286873,0.78
6,MAK,0.5,0.018061703070998192,0.61
7,MAK,0.5,0.02294577658176422,0.52
8,MAK,0.5,0.016722237691283226,0.62
9,MAK,0.5,0.02926073968410492,0.73
0,MAK,0.6000000000000001,0.024228964000940323,0.7
1,MAK,0.6000000000000001,0.023428769782185555,0.73
2,MAK,0.6000000000000001,0.024227846413850784,0.77
3,MAK,0.6000000000000001,0.034134265035390854,0.52
4,MAK,0.6000000000000001,0.02663581632077694,0.73
5,MAK,0.6000000000000001,0.03226336091756821,0.71
6,MAK,0.6000000000000001,0.046651922166347504,0.24
7,MAK,0.6000000000000001,0.03288847208023071,0.77
8,MAK,0.6000000000000001,0.02057286724448204,0.75
9,MAK,0.6000000000000001,0.03731537610292435,0.48
0,MAK,0.7000000000000001,0.04425135627388954,0.8
1,MAK,0.7000000000000001,0.055034101009368896,0.38
2,MAK,0.7000000000000001,0.025476153939962387,0.68
3,MAK,0.7000000000000001,0.03590777516365051,0.48
4,MAK,0.7000000000000001,0.044365111738443375,0.74
5,MAK,0.7000000000000001,0.058246955275535583,0.68
6,MAK,0.7000000000000001,0.031429171562194824,0.49
7,MAK,0.7000000000000001,0.041058242321014404,0.77
8,MAK,0.7000000000000001,0.0301652941852808,0.75
9,MAK,0.7000000000000001,0.03167929872870445,0.72
0,MAK,0.8,0.04324338957667351,0.69
1,MAK,0.8,0.04012860357761383,0.62
2,MAK,0.8,0.03326692059636116,0.47
3,MAK,0.8,0.061842747032642365,0.56
4,MAK,0.8,0.07901226729154587,0.42
5,MAK,0.8,0.06559143215417862,0.56
6,MAK,0.8,0.06657738983631134,0.35
7,MAK,0.8,0.04749942198395729,0.69
8,MAK,0.8,0.0754285380244255,0.44
9,MAK,0.8,0.05000733584165573,0.48
0,MAK,0.9,0.06877347081899643,0.51
1,MAK,0.9,0.05054295435547829,0.68
2,MAK,0.9,0.04640378803014755,0.69
3,MAK,0.9,0.055903904139995575,0.48
4,MAK,0.9,0.06924682855606079,0.41
5,MAK,0.9,0.09366105496883392,0.16
6,MAK,0.9,0.09732268750667572,0.48
7,MAK,0.9,0.04725990444421768,0.66
8,MAK,0.9,0.08144902437925339,0.23
9,MAK,0.9,0.04866037145256996,0.51
0,MAK,1.0,0.03754483163356781,0.73
1,MAK,1.0,0.09787692874670029,0.41
2,MAK,1.0,0.09967725723981857,0.59
3,MAK,1.0,0.09017040580511093,0.62
4,MAK,1.0,0.09502489864826202,0.26
5,MAK,1.0,0.07409245520830154,0.36
6,MAK,1.0,0.07869905233383179,0.46
7,MAK,1.0,0.07715163379907608,0.57
8,MAK,1.0,0.07371079921722412,0.69
9,MAK,1.0,0.05216345191001892,0.65
0,MM,0.0,0.017772996798157692,0.96
1,MM,0.0,0.010236726142466068,0.99
2,MM,0.0,0.016765696927905083,0.98
3,MM,0.0,0.013872954994440079,0.97
4,MM,0.0,0.018712779507040977,0.94
5,MM,0.0,0.021791964769363403,0.94
6,MM,0.0,0.021913539618253708,0.91
7,MM,0.0,0.013575563207268715,0.99
8,MM,0.0,0.010144063271582127,0.98
9,MM,0.0,0.011936532333493233,0.95
0,MM,0.1,0.018707027658820152,0.97
1,MM,0.1,0.0249924398958683,0.95
2,MM,0.1,0.017117299139499664,0.95
3,MM,0.1,0.03220788389444351,0.94
4,MM,0.1,0.01605105586349964,0.98
5,MM,0.1,0.020040446892380714,0.98
6,MM,0.1,0.01827777363359928,1.0
7,MM,0.1,0.028744926676154137,0.98
8,MM,0.1,0.016437413170933723,0.98
9,MM,0.1,0.026836032047867775,0.93
0,MM,0.2,0.03414340317249298,0.91
1,MM,0.2,0.026090893894433975,0.92
2,MM,0.2,0.02170565538108349,0.97
3,MM,0.2,0.0378340408205986,0.94
4,MM,0.2,0.03441672772169113,0.91
5,MM,0.2,0.026282627135515213,0.91
6,MM,0.2,0.025980934500694275,0.92
7,MM,0.2,0.02847800776362419,0.93
8,MM,0.2,0.03704274073243141,0.94
9,MM,0.2,0.024911966174840927,0.95
0,MM,0.30000000000000004,0.04075310006737709,0.91
1,MM,0.30000000000000004,0.040538281202316284,0.91
2,MM,0.30000000000000004,0.04682014882564545,0.91
3,MM,0.30000000000000004,0.04015517607331276,0.93
4,MM,0.30000000000000004,0.05586879327893257,0.87
5,MM,0.30000000000000004,0.032433800399303436,0.93
6,MM,0.30000000000000004,0.02715255692601204,0.92
7,MM,0.30000000000000004,0.03494182601571083,0.88
8,MM,0.30000000000000004,0.049518827348947525,0.92
9,MM,0.30000000000000004,0.0461345873773098,0.91
0,MM,0.4,0.031070487573742867,0.92
1,MM,0.4,0.042163535952568054,0.92
2,MM,0.4,0.03463601693511009,0.89
3,MM,0.4,0.04114621505141258,0.94
4,MM,0.4,0.03198457509279251,0.92
5,MM,0.4,0.03727061301469803,0.93
6,MM,0.4,0.04786759987473488,0.84
7,MM,0.4,0.042951054871082306,0.87
8,MM,0.4,0.035197168588638306,0.95
9,MM,0.4,0.04172013700008392,0.9
0,MM,0.5,0.06566295772790909,0.88
1,MM,0.5,0.055788710713386536,0.85
2,MM,0.5,0.06860986351966858,0.92
3,MM,0.5,0.03250487521290779,0.96
4,MM,0.5,0.05232510343194008,0.86
5,MM,0.5,0.03876781091094017,0.91
6,MM,0.5,0.05231737345457077,0.91
7,MM,0.5,0.049281045794487,0.85
8,MM,0.5,0.04736517742276192,0.9
9,MM,0.5,0.035756535828113556,0.94
0,MM,0.6000000000000001,0.054414935410022736,0.89
1,MM,0.6000000000000001,0.05552179738879204,0.92
2,MM,0.6000000000000001,0.04097529500722885,0.97
3,MM,0.6000000000000001,0.06566954404115677,0.86
4,MM,0.6000000000000001,0.052766818553209305,0.92
5,MM,0.6000000000000001,0.05881483107805252,0.87
6,MM,0.6000000000000001,0.05774734541773796,0.92
7,MM,0.6000000000000001,0.03625606372952461,0.84
8,MM,0.6000000000000001,0.06402979791164398,0.87
9,MM,0.6000000000000001,0.08539655804634094,0.81
0,MM,0.7000000000000001,0.04805115610361099,0.87
1,MM,0.7000000000000001,0.05599470064043999,0.86
2,MM,0.7000000000000001,0.07045260816812515,0.91
3,MM,0.7000000000000001,0.04911842942237854,0.86
4,MM,0.7000000000000001,0.06971490383148193,0.85
5,MM,0.7000000000000001,0.0637601688504219,0.84
6,MM,0.7000000000000001,0.05683370679616928,0.89
7,MM,0.7000000000000001,0.07359609007835388,0.85
8,MM,0.7000000000000001,0.0645223930478096,0.85
9,MM,0.7000000000000001,0.06551270931959152,0.86
0,MM,0.8,0.06704296171665192,0.84
1,MM,0.8,0.05481426790356636,0.84
2,MM,0.8,0.10983448475599289,0.78
3,MM,0.8,0.0621395967900753,0.85
4,MM,0.8,0.0635969340801239,0.85
5,MM,0.8,0.09058839827775955,0.79
6,MM,0.8,0.07168703526258469,0.9
7,MM,0.8,0.08226880431175232,0.87
8,MM,0.8,0.07119525223970413,0.94
9,MM,0.8,0.08490948379039764,0.78
0,MM,0.9,0.07189170271158218,0.82
1,MM,0.9,0.07181094586849213,0.86
2,MM,0.9,0.09592234343290329,0.85
3,MM,0.9,0.07606250792741776,0.78
4,MM,0.9,0.09566539525985718,0.79
5,MM,0.9,0.06115345284342766,0.85
6,MM,0.9,0.07701375335454941,0.85
7,MM,0.9,0.07934556901454926,0.75
8,MM,0.9,0.10397417843341827,0.79
9,MM,0.9,0.08902498334646225,0.76
0,MM,1.0,0.08705388009548187,0.86
1,MM,1.0,0.09714244306087494,0.87
2,MM,1.0,0.06252364069223404,0.8
3,MM,1.0,0.06998243182897568,0.86
4,MM,1.0,0.06602688878774643,0.84
5,MM,1.0,0.07924121618270874,0.87
6,MM,1.0,0.10209519416093826,0.8
7,MM,1.0,0.06466508656740189,0.89
8,MM,1.0,0.10111424326896667,0.86
9,MM,1.0,0.07512970268726349,0.84
0,PD,0.0,0.014777638018131256,0.92
1,PD,0.0,0.01349225826561451,0.94
2,PD,0.0,0.013681524433195591,0.93
3,PD,0.0,0.012690807692706585,0.92
4,PD,0.0,0.009768770076334476,0.97
5,PD,0.0,0.010569536127150059,1.0
6,PD,0.0,0.010343868285417557,0.96
7,PD,0.0,0.013087444007396698,0.93
8,PD,0.0,0.010510998778045177,0.91
9,PD,0.0,0.01302078552544117,0.96
0,PD,0.1,0.023363687098026276,0.9
1,PD,0.1,0.012758833356201649,0.94
2,PD,0.1,0.017684251070022583,0.9
3,PD,0.1,0.01435453537851572,0.91
4,PD,0.1,0.012460803613066673,0.98
5,PD,0.1,0.008573541417717934,0.95
6,PD,0.1,0.01345907710492611,0.94
7,PD,0.1,0.02867920696735382,0.9
8,PD,0.1,0.010665761306881905,0.95
9,PD,0.1,0.022756412625312805,0.92
0,PD,0.2,0.01812615804374218,1.0
1,PD,0.2,0.03522472456097603,0.82
2,PD,0.2,0.04049414023756981,0.82
3,PD,0.2,0.05341114103794098,0.7
4,PD,0.2,0.02457975037395954,0.93
5,PD,0.2,0.010320758447051048,0.96
6,PD,0.2,0.014626997523009777,0.95
7,PD,0.2,0.020009925588965416,0.94
8,PD,0.2,0.00921761803328991,0.97
9,PD,0.2,0.016737084835767746,0.95
0,PD,0.30000000000000004,0.038656044751405716,0.75
1,PD,0.30000000000000004,0.044665753841400146,0.74
2,PD,0.30000000000000004,0.056820716708898544,0.67
3,PD,0.30000000000000004,0.04290326312184334,0.79
4,PD,0.30000000000000004,0.03532647341489792,0.82
5,PD,0.30000000000000004,0.04173416644334793,0.84
6,PD,0.30000000000000004,0.02672239951789379,0.86
7,PD,0.30000000000000004,0.04183042794466019,0.76
8,PD,0.30000000000000004,0.0466262549161911,0.76
9,PD,0.30000000000000004,0.02043895423412323,0.96
0,PD,0.4,0.10570555925369263,0.34
1,PD,0.4,0.051585085690021515,0.62
2,PD,0.4,0.08210449665784836,0.63
3,PD,0.4,0.06986113637685776,0.75
4,PD,0.4,0.10120975971221924,0.46
5,PD,0.4,0.056032415479421616,0.66
6,PD,0.4,0.08345501869916916,0.65
7,PD,0.4,0.06480426341295242,0.67
8,PD,0.4,0.08415188640356064,0.66
9,PD,0.4,0.025973215699195862,0.92
0,PD,0.5,0.11299528181552887,0.39
1,PD,0.5,0.10691403597593307,0.49
2,PD,0.5,0.1314552277326584,0.45
3,PD,0.5,0.06156550720334053,0.8
4,PD,0.5,0.041745059192180634,0.8
5,PD,0.5,0.03847530856728554,0.7
6,PD,0.5,0.08037032186985016,0.68
7,PD,0.5,0.08272697776556015,0.56
8,PD,0.5,0.04274166002869606,0.81
9,PD,0.5,0.06202169135212898,0.79
0,PD,0.6000000000000001,0.14864465594291687,0.28
1,PD,0.6000000000000001,0.12712596356868744,0.33
2,PD,0.6000000000000001,0.10193980485200882,0.48
3,PD,0.6000000000000001,0.14097289741039276,0.31
4,PD,0.6000000000000001,0.1036657765507698,0.51
5,PD,0.6000000000000001,0.10103965550661087,0.52
6,PD,0.6000000000000001,0.1064600721001625,0.45
7,PD,0.6000000000000001,0.09089940786361694,0.66
8,PD,0.6000000000000001,0.1434108167886734,0.3
9,PD,0.6000000000000001,0.11943697184324265,0.53
0,PD,0.7000000000000001,0.16563479602336884,0.23
1,PD,0.7000000000000001,0.12862730026245117,0.35
2,PD,0.7000000000000001,0.1629505306482315,0.2
3,PD,0.7000000000000001,0.13028399646282196,0.48
