,Dynamics,delta,loss,pval
8,MAK,0.30000000000000004,0.012333282269537449,0.76
9,MAK,0.30000000000000004,0.006089848466217518,0.9
0,MAK,0.4,0.03124559298157692,0.33
1,MAK,0.4,0.007601554971188307,0.86
2,MAK,0.4,0.0192177202552557,0.84
3,MAK,0.4,0.014250990003347397,0.85
4,MAK,0.4,0.010137705132365227,0.83
5,MAK,0.4,0.012772045098245144,0.65
6,MAK,0.4,0.020515836775302887,0.76
7,MAK,0.4,0.015650127083063126,0.71
8,MAK,0.4,0.011982657946646214,0.79
9,MAK,0.4,0.01205264963209629,0.85
0,MAK,0.5,0.011172695085406303,0.74
1,MAK,0.5,0.033357810229063034,0.76
2,MAK,0.5,0.017161699011921883,0.91
3,MAK,0.5,0.01935294270515442,0.72
4,MAK,0.5,0.02163773402571678,0.74
5,MAK,0.5,0.012182608246803284,0.86
6,MAK,0.5,0.019146576523780823,0.79
7,MAK,0.5,0.011754082515835762,0.82
8,MAK,0.5,0.022723792120814323,0.81
9,MAK,0.5,0.00894040148705244,0.87
0,MAK,0.6000000000000001,0.021060572937130928,0.9
1,MAK,0.6000000000000001,0.01248282752931118,0.74
2,MAK,0.6000000000000001,0.01130636502057314,0.88
3,MAK,0.6000000000000001,0.03147389739751816,0.59
4,MAK,0.6000000000000001,0.03870367258787155,0.61
5,MAK,0.6000000000000001,0.04826399311423302,0.69
6,MAK,0.6000000000000001,0.03223346546292305,0.7
7,MAK,0.6000000000000001,0.04429992660880089,0.67
8,MAK,0.6000000000000001,0.03929753974080086,0.79
9,MAK,0.6000000000000001,0.036076560616493225,0.68
0,MAK,0.7000000000000001,0.03927680104970932,0.71
1,MAK,0.7000000000000001,0.03545324504375458,0.72
2,MAK,0.7000000000000001,0.05294400826096535,0.69
3,MAK,0.7000000000000001,0.046353865414857864,0.67
4,MAK,0.7000000000000001,0.04761778190732002,0.7
5,MAK,0.7000000000000001,0.032530419528484344,0.76
6,MAK,0.7000000000000001,0.027824897319078445,0.67
7,MAK,0.7000000000000001,0.04246808961033821,0.7
8,MAK,0.7000000000000001,0.01838662661612034,0.78
9,MAK,0.7000000000000001,0.028457969427108765,0.86
0,MAK,0.8,0.04890746250748634,0.65
1,MAK,0.8,0.07782703638076782,0.65
